Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 1060.2
Real Time (s), 1066.16
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
433, 199.48620642010002, 42
434, 199.94570643490002, 43
435, 200.40520644970002, 45
436, 200.86470646450002, 36
437, 201.32420647930002, 50
438, 201.78370649410002, 47
439, 202.24320650890002, 43
440, 202.70270652370002, 56
441, 203.16220653850002, 43
442, 203.62170655330002, 39
443, 204.08120656810001, 41
444, 204.54070658290001, 51
445, 205.00020659770001, 50
446, 205.4597066125, 49
447, 205.9192066273, 53
448, 206.3787066421, 35
449, 206.8382066569, 43
450, 207.2977066717, 42
451, 207.7572066865, 35
452, 208.2167067013, 37
453, 208.6762067161, 47
454, 209.1357067309, 45
455, 209.5952067457, 55
456, 210.0547067605, 45
457, 210.5142067753, 45
458, 210.9737067901, 51
459, 211.4332068049, 45
460, 211.8927068197, 51
461, 212.3522068345, 55
462, 212.8117068493, 37
463, 213.2712068641, 37
464, 213.7307068789, 59
465, 214.1902068937, 53
466, 214.6497069085, 56
467, 215.1092069233, 34
